id,name,description,slug,parent_id,created_at,is_published,updated_at
1,Мужская обувь,Обувь для мужчин всех возрастов,mens-shoes,,2023-01-01 10:00:00,True,2024-01-10 12:00:00
2,Женская обувь,Обувь для женщин: от повседневной до вечерней,womens-shoes,,2023-01-01 10:05:00,True,2024-01-10 12:05:00
3,Детская обувь,Обувь для детей и подростков,kids-shoes,,2023-01-01 10:10:00,True,2024-01-10 12:10:00
4,Спортивная обувь,Обувь для спорта и активного отдыха,sports-shoes,,2023-01-01 10:15:00,True,2024-01-10 12:15:00
5,Кроссовки мужские,Спортивные и повседневные кроссовки для мужчин,mens-sneakers,1,2023-01-01 10:20:00,True,2024-01-10 12:20:00
6,Туфли мужские,Классические и casual туфли,mens-formal-shoes,1,2023-01-01 10:25:00,True,2024-01-10 12:25:00
7,Ботинки мужские,Зимние и демисезонные ботинки,mens-boots,1,2023-01-01 10:30:00,True,2024-01-10 12:30:00
8,Сандалии мужские,Летняя открытая обувь,mens-sandals,1,2023-01-01 10:35:00,True,2024-01-10 12:35:00
9,Кроссовки женские,Женские кроссовки для спорта и повседневной носки,womens-sneakers,2,2023-01-01 10:40:00,True,2024-01-10 12:40:00
10,Туфли женские,Женские туфли на каблуке и без,womens-formal-shoes,2,2023-01-01 10:45:00,True,2024-01-10 12:45:00
11,Ботинки женские,Сапоги и ботинки для женщин,womens-boots,2,2023-01-01 10:50:00,True,2024-01-10 12:50:00
12,Балетки женские,Удобные женские балетки,womens-flats,2,2023-01-01 10:55:00,True,2024-01-10 12:55:00
13,Кроссовки детские,Детские кроссовки для мальчиков и девочек,kids-sneakers,3,2023-01-01 11:00:00,True,2024-01-10 13:00:00
14,Ботинки детские,Детские ботинки и сапоги,kids-boots,3,2023-01-01 11:05:00,True,2024-01-10 13:05:00
15,Сандалии детские,Летняя детская обувь,kids-sandals,3,2023-01-01 11:10:00,True,2024-01-10 13:10:00
16,Беговые кроссовки,Кроссовки для бега и трейлраннинга,running-shoes,4,2023-01-01 11:15:00,True,2024-01-10 13:15:00
17,Футбольные бутсы,Обувь для футбола,soccer-shoes,4,2023-01-01 11:20:00,True,2024-01-10 13:20:00
18,Теннисные кроссовки,Обувь для тенниса и сквоша,tennis-shoes,4,2023-01-01 11:25:00,True,2024-01-10 13:25:00
19,Тренировочные кроссовки,Универсальные кроссовки для тренировок,training-shoes,4,2023-01-01 11:30:00,True,2024-01-10 13:30:00
21,12345,1234545,12345,,2026-01-12 22:56:00.034545,True,2026-01-12 22:56:00.034545
